ID,Name,Activity,Start,Finish,PGMA,System,MU
,Engineering,ENG,2024-01-05,2024-03-04,,FGD,
,Manufacturing,MFG,2024-03-05,2024-05-03,,FGD,
,Dispatch,DIS,2024-05-04,2024-06-02,,FGD,
,BALL MILL BUILDING WALL BEAMS,OTH,2024-01-05,2024-05-18,,FGD,
,Engineering,ENG,2024-01-05,2024-02-18,,FGD,
,Manufacturing,MFG,2024-02-19,2024-04-18,,FGD,
,Dispatch,DIS,2024-04-19,2024-05-18,,FGD,
,Civil Works,OTH,2023-09-22,2024-05-18,,FGD,
, RFC Civil Mill Foundation drawing,PE-RFC,2023-09-22,2023-10-21,,FGD,PSWR
, RFC Civil Building foundation drawing,PE-RFC,2023-10-22,2023-11-30,,FGD,
, RFC Superstructure drawing,PE-RFC,2023-11-11,2023-12-20,,FGD,
,Excavation,CIV,2023-10-22,2023-11-20,,FGD,PSWR
,RCC,CIV,2023-11-21,2024-05-18,,FGD,PSWR
,Erection,ERC,2024-05-19,2025-04-07,,FGD,PSWR
,Erection of Structure,ERC,2024-05-19,2024-12-14,,FGD,PSWR
,Erection of Wet Ball Mill,ERC,2024-10-20,2025-03-18,,FGD,PSWR
,Erection of Ball Mill Motor,ERC,2025-03-09,2025-04-07,,FGD,PSWR
,Commissioning,COM,2025-03-09,2025-05-07,,FGD,
,Day Silo,OTH,2022-09-27,2025-05-02,,FGD,
,Engineering &Supply,ENG,2022-09-27,2024-10-19,,FGD,
, FOUNDATION MATERIALS,OTH,2023-10-02,2024-01-29,,FGD,
,Engineering,ENG,2023-10-02,2023-10-16,,FGD,
,Manufacturing,MFG,2023-10-17,2023-12-30,,FGD,
,Dispatch,DIS,2023-12-31,2024-01-29,,FGD,
,COLUMNS,OTH,2023-10-02,2024-03-14,,FGD,
,Engineering,ENG,2023-10-02,2023-11-15,,FGD,
,Manufacturing,MFG,2023-11-16,2024-02-13,,FGD,
,Dispatch,DIS,2024-02-14,2024-03-14,,FGD,
,BEAMS & BRACING,OTH,2023-11-16,2024-03-29,,FGD,
,Engineering,ENG,2023-11-16,2023-12-15,,FGD,
,Manufacturing,MFG,2023-12-16,2024-02-28,,FGD,
,Dispatch,DIS,2024-02-29,2024-03-29,,FGD,
,FLOOR & PLATFORMS,OTH,2023-11-16,2024-04-13,,FGD,
,Engineering,ENG,2023-11-16,2023-12-30,,FGD,
,Manufacturing,MFG,2023-12-31,2024-03-14,,FGD,
,Dispatch,DIS,2024-03-15,2024-04-13,,FGD,
,WALL BEAMS,OTH,2023-11-16,2024-03-29,,FGD,
,Engineering,ENG,2023-11-16,2023-12-30,,FGD,
,Manufacturing,MFG,2023-12-31,2024-02-28,,FGD,
,Dispatch,DIS,2024-02-29,2024-03-29,,FGD,
,STAIRS,OTH,2023-11-16,2024-04-28,,FGD,
,Engineering,ENG,2023-11-16,2023-12-30,,FGD,
,Manufacturing,MFG,2023-12-31,2024-03-29,,FGD,
,Dispatch,DIS,2024-03-30,2024-04-28,,FGD,
,MISC STRUCTURES,OTH,2023-12-16,2024-05-28,,FGD,
,Engineering,ENG,2023-12-16,2024-01-29,,FGD,
,Manufacturing,MFG,2024-01-30,2024-04-28,,FGD,
,Dispatch,DIS,2024-04-29,2024-05-28,,FGD,
, HYD- LIMESTONE DAY SILO AND ACCESSORIES,OTH,2022-09-27,2024-10-19,,FGD,
,PROCUREMENT,OTH,2022-09-27,2023-12-25,,FGD,
,MANUFACTURING,OTH,2023-12-26,2024-06-02,,FGD,
,ASSEMBLY& TESTING,OTH,2024-06-03,2024-09-19,,FGD,
,Dispatch OF LIME STONE DAY SILO AND ACCESSORIES AND ALL ASSOCIATED ITEMS,DIS,2024-09-20,2024-10-19,,FGD,
, Civil Works,OTH,2023-09-02,2024-03-29,,FGD,
, RFC Civil foundation,PE-RFC,2023-09-02,2023-10-01,,FGD,
, RFC Superstructure drawing,PE-RFC,2023-10-02,2023-10-31,,FGD,
, Excavation,CIV,2023-10-02,2023-11-30,,FGD,PSWR
, RCC,CIV,2023-12-01,2024-03-29,,FGD,PSWR
,Erection,ERC,2024-03-30,2025-05-02,,FGD,PSWR
,Erection of Structure,ERC,2024-03-30,2024-08-26,,FGD,PSWR
,Erection of Silos,ERC,2024-10-20,2025-03-18,,FGD,PSWR
,Erection of Bag Filter,ERC,2025-03-19,2025-05-02,,FGD,PSWR
,Erection of Air Cannon,ERC,2025-03-19,2025-05-02,,FGD,PSWR
,Erection of Bucket Elevator,ERC,2024-08-27,2025-03-14,,FGD,PSWR
,LHS & GHS System,OTH,2022-11-26,2026-05-18,,FGD,
,Ordering & Engineering of LHS & GHS,ENG,2022-11-26,2023-10-21,,FGD,
,Enquiry,OTH,2022-11-26,2022-12-25,,FGD,
,Ordering,OTH,2022-12-26,2023-04-24,,FGD,
,Detailed Engineering,ENG,2023-04-25,2023-10-21,,FGD,
,Limestone Transfer Point-1,OTH,2023-02-24,2025-09-30,,FGD,
,Equipment Dispatch,DIS,2024-04-19,2024-05-18,,FGD,
,Dispatch,DIS,2024-04-19,2024-05-18,,FGD,
,Engineering &Supply of Structure,ENG,2023-02-24,2024-05-18,,FGD,
, FOUNDATION MATERIALS LTP1,OTH,2023-10-22,2024-03-04,,FGD,
,Engineering,ENG,2023-10-22,2023-11-05,,FGD,
,Manufacturing,MFG,2023-11-06,2024-02-03,,FGD,
,Dispatch,DIS,2024-02-04,2024-03-04,,FGD,
,LTP1 COLUMNS,OTH,2023-10-22,2024-05-18,,FGD,
,Engineering,ENG,2023-10-22,2024-01-19,,FGD,
,Manufacturing,MFG,2024-01-20,2024-04-18,,FGD,
,Dispatch,DIS,2024-04-19,2024-05-18,,FGD,
,LTP1 BEAMS & BRACING,OTH,2023-10-22,2024-05-18,,FGD,
,Engineering,ENG,2023-10-22,2024-01-19,,FGD,
,Manufacturing,MFG,2024-01-20,2024-04-18,,FGD,
,Dispatch,DIS,2024-04-19,2024-05-18,,FGD,
,LTP1 FLOOR & PLATFORMS,OTH,2023-10-22,2024-05-18,,FGD,
,Engineering,ENG,2023-10-22,2024-01-19,,FGD,
,Manufacturing,MFG,2024-01-20,2024-04-18,,FGD,
,Dispatch,DIS,2024-04-19,2024-05-18,,FGD,
, LTP1 WALL BEAMS,OTH,2023-10-22,2024-05-18,,FGD,
,Engineering,ENG,2023-10-22,2024-01-19,,FGD,
,Manufacturing,MFG,2024-01-20,2024-04-18,,FGD,
,Dispatch,DIS,2024-04-19,2024-05-18,,FGD,
, LTP1 FASTENERS,OTH,2023-02-24,2023-12-12,,FGD,
,Enquiry,OTH,2023-02-24,2023-03-02,,FGD,
,Ordering,OTH,2023-03-03,2023-06-30,,FGD,
,Engineering,ENG,2023-07-01,2023-09-28,,FGD,
,Dispatch,DIS,2023-11-13,2023-12-12,,FGD,
, LTP1 STAIRS & LADDERS,OTH,2023-10-22,2024-05-18,,FGD,
,Engineering,ENG,2023-10-22,2024-01-19,,FGD,
,Manufacturing,MFG,2024-01-20,2024-04-18,,FGD,
,Dispatch,DIS,2024-04-19,2024-05-18,,FGD,
,LTP1 MISC STRUCTURES,OTH,2023-10-22,2024-05-18,,FGD,
,Engineering,ENG,2023-10-22,2024-01-19,,FGD,
,Manufacturing,MFG,2024-01-20,2024-04-18,,FGD,
,Dispatch,DIS,2024-04-19,2024-05-18,,FGD,
,Civil Works,OTH,2023-02-24,2024-04-03,,FGD,
,Engineering: Superstructure & Foundation,CIV,2023-02-24,2023-07-23,,FGD,PSWR
,Excavation,CIV,2023-07-24,2023-09-06,,FGD,PSWR
,RCC,CIV,2023-11-06,2024-04-03,,FGD,PSWR
,Erection,ERC,2024-05-19,2025-09-30,,FGD,PSWR
,Erection of Structure,ERC,2024-05-19,2025-05-03,,FGD,PSWR
,Erection of Equipment,ERC,2024-10-16,2025-09-30,,FGD,PSWR
,ISG- Limestone Truck Tippler ,OTH,2023-02-24,2024-11-14,,FGD,
,Equipment Dispatch,DIS,2024-07-18,2024-08-16,,FGD,
,Dispatch,DIS,2024-07-18,2024-08-16,,FGD,
,Civil Works,OTH,2023-02-24,2024-06-17,,FGD,
,Engineering: Foundation,CIV,2023-02-24,2023-04-24,,FGD,PSWR
,Excavation,CIV,2023-04-25,2023-06-23,,FGD,PSWR
,RCC,CIV,2023-06-24,2024-06-17,,FGD,PSWR
,Erection of Equipment,ERC,2024-08-17,2024-11-14,,FGD,PSWR
,ISG- Surface Feeder,OTH,2023-02-24,2024-10-25,,FGD,
,Equipment Dispatch,DIS,2024-06-28,2024-07-27,,FGD,
,Dispatch,DIS,2024-06-28,2024-07-27,,FGD,
,Civil Works,OTH,2023-02-24,2023-10-21,,FGD,
,Engineering: Foundation,CIV,2023-02-24,2023-04-24,,FGD,PSWR
,Excavation,CIV,2023-04-25,2023-06-23,,FGD,PSWR
,RCC,CIV,2023-06-24,2023-10-21,,FGD,PSWR
,Erection of Equipment,ERC,2024-07-28,2024-10-25,,FGD,PSWR
, Belt Conveyor-1A/B,OTH,2023-06-24,2025-06-07,,FGD,
,Equipment Dispatch,DIS,2024-04-19,2024-05-18,,FGD,
,LSBC1-Dispatch,DIS,2024-04-19,2024-05-18,,FGD,
,Engineering &Supply of Structure,ENG,2023-11-21,2024-08-01,,FGD,
,FOUNDATION MATERIALS CONVEYOR-LC-1A/B,OTH,2023-11-21,2024-04-03,,FGD,
,Engineering,ENG,2023-11-21,2023-12-05,,FGD,
,Manufacturing,MFG,2023-12-06,2024-03-04,,FGD,
,Dispatch,DIS,2024-03-05,2024-04-03,,FGD,
,CONVEYOR-LC-1A/B COLUMNS - TRESTLES,OTH,2023-12-06,2024-08-01,,FGD,
,Engineering,ENG,2023-12-06,2024-03-04,,FGD,
,Manufacturing,MFG,2024-03-05,2024-07-02,,FGD,
,Dispatch,DIS,2024-07-03,2024-08-01,,FGD,
, CONVEYOR-LC-1A/B BEAMS & BRACING,OTH,2023-12-11,2024-05-23,,FGD,
,Engineering,ENG,2023-12-11,2024-01-24,,FGD,
,Manufacturing,MFG,2024-01-25,2024-04-23,,FGD,
,Dispatch,DIS,2024-04-24,2024-05-23,,FGD,
,CONVEYOR-LC-1A/B FLOOR & PLATFORMS,OTH,2023-12-16,2024-06-27,,FGD,
,Engineering,ENG,2023-12-16,2024-01-29,,FGD,
,Manufacturing,MFG,2024-01-30,2024-05-28,,FGD,
,Dispatch,DIS,2024-05-29,2024-06-27,,FGD,
,CONVEYOR-LC-1A/B STAIRS & LADDERS,OTH,2023-12-16,2024-04-28,,FGD,
,Engineering,ENG,2023-12-16,2024-01-29,,FGD,
,Manufacturing,MFG,2024-01-30,2024-03-29,,FGD,
,Dispatch,DIS,2024-03-30,2024-04-28,,FGD,
,CONVEYOR-LC-1A/B MISC STRUCTURES,OTH,2023-12-21,2024-04-03,,FGD,
,Engineering,ENG,2023-12-21,2024-01-19,,FGD,
,Manufacturing,MFG,2024-01-20,2024-03-04,,FGD,
,Dispatch,DIS,2024-03-05,2024-04-03,,FGD,
,Civil Works,OTH,2023-06-24,2024-05-03,,FGD,
,Engineering: Foundation,CIV,2023-06-24,2023-08-22,,FGD,PSWR
,Engineering: Superstructure,ENG,2023-07-24,2023-10-21,,FGD,
,Excavation,CIV,2023-08-23,2023-11-20,,FGD,PSWR
,RCC,CIV,2024-02-04,2024-05-03,,FGD,PSWR
,Erection,ERC,2024-05-04,2025-06-07,,FGD,PSWR
,Erection of Structure,ERC,2024-05-04,2024-11-19,,FGD,PSWR
,Erection of Equipment,ERC,2024-11-20,2025-06-07,,FGD,PSWR
,Limestone Crusher House,OTH,2023-06-24,2025-09-10,,FGD,
,Equipment Dispatch,DIS,2024-04-19,2024-06-17,,FGD,
,Dispatch,DIS,2024-04-19,2024-06-17,,FGD,
,Engineering &Supply of Structure,ENG,2023-06-24,2023-12-20,,FGD,
, FOUNDATION MATERIALS,OTH,2023-06-24,2023-11-05,,FGD,
,Engineering,ENG,2023-06-24,2023-07-08,,FGD,
,Manufacturing,MFG,2023-07-09,2023-10-06,,FGD,
,Dispatch,DIS,2023-10-07,2023-11-05,,FGD,
,COLUMNS,OTH,2023-06-24,2023-12-20,,FGD,
,Engineering,ENG,2023-06-24,2023-07-23,,FGD,
,Manufacturing,MFG,2023-07-24,2023-11-20,,FGD,
,Dispatch,DIS,2023-11-21,2023-12-20,,FGD,
,BEAMS & BRACING,OTH,2023-06-24,2023-11-20,,FGD,
,Engineering,ENG,2023-06-24,2023-07-23,,FGD,
,Manufacturing,MFG,2023-07-24,2023-10-21,,FGD,
,Dispatch,DIS,2023-10-22,2023-11-20,,FGD,
,FLOOR & PLATFORMS,OTH,2023-06-24,2023-11-20,,FGD,
,Engineering,ENG,2023-06-24,2023-07-23,,FGD,
,Manufacturing,MFG,2023-07-24,2023-10-21,,FGD,
,Dispatch,DIS,2023-10-22,2023-11-20,,FGD,
,WALL BEAMS,OTH,2023-06-24,2023-11-20,,FGD,
,Engineering,ENG,2023-06-24,2023-07-23,,FGD,
,Manufacturing,MFG,2023-07-24,2023-10-21,,FGD,
,Dispatch,DIS,2023-10-22,2023-11-20,,FGD,
,STAIRS & LADDERS,OTH,2023-06-24,2023-10-21,,FGD,
,Engineering,ENG,2023-06-24,2023-07-23,,FGD,
,Manufacturing,MFG,2023-07-24,2023-09-21,,FGD,
,Dispatch,DIS,2023-09-22,2023-10-21,,FGD,
,MISC STRUCTURES,OTH,2023-06-24,2023-10-06,,FGD,
,Engineering,ENG,2023-06-24,2023-07-23,,FGD,
,Manufacturing,MFG,2023-07-24,2023-09-06,,FGD,
,Dispatch,DIS,2023-09-07,2023-10-06,,FGD,
,Civil Works,OTH,2023-06-24,2024-04-18,,FGD,
,Engineering: Foundation,CIV,2023-06-24,2023-08-22,,FGD,PSWR
,Engineering: Superstructure,ENG,2023-08-23,2023-11-20,,FGD,
,Excavation,CIV,2023-08-23,2023-11-20,,FGD,PSWR
,RCC,CIV,2023-09-22,2024-04-18,,FGD,PSWR
,Erection of Structure,ERC,2024-04-19,2025-04-13,,FGD,PSWR
,Erection of Equipment,ERC,2025-04-14,2025-09-10,,FGD,PSWR
,Limestone Belt Feeder,OTH,2023-02-24,2025-03-04,,FGD,
,Equipment Dispatch,DIS,2023-02-24,2024-12-04,,FGD,
,Ordering & Engineering,ENG,2024-05-09,2024-09-05,,FGD,
,Manufacturing,MFG,2023-02-24,2023-07-23,,FGD,
,Dispatch,DIS,2024-09-06,2024-12-04,,FGD,
,Equipment Dispatch,DIS,2024-12-05,2025-03-04,,FGD,
,Limestone Bulk Storage Silo and Bucket Elevator,OTH,2023-05-25,2025-11-04,,FGD,
,Engineering &Supply,ENG,2023-07-24,2025-05-23,,FGD,
,FOUNDATION MATERIALS SILO STR,OTH,2023-07-24,2024-07-22,,FGD,
,Engineering,ENG,2023-07-24,2023-11-15,,FGD,
,Manufacturing,MFG,2023-11-16,2024-06-22,,FGD,
,Dispatch,DIS,2024-06-23,2024-07-22,,FGD,
,SILO STR COLUMNS,OTH,2023-07-24,2024-10-25,,FGD,
,Engineering,ENG,2023-07-24,2024-02-18,,FGD,
,Manufacturing,MFG,2024-02-19,2024-09-25,,FGD,
,Dispatch,DIS,2024-09-26,2024-10-25,,FGD,
,SILO STR BEAMS & BRACING,OTH,2024-02-19,2025-05-23,,FGD,
,Engineering,ENG,2024-02-19,2024-09-15,,FGD,
,Manufacturing,MFG,2024-09-16,2025-04-23,,FGD,
,Dispatch,DIS,2025-04-24,2025-05-23,,FGD,
,SILO STR FLOOR & PLATFORMS,OTH,2024-02-19,2025-05-23,,FGD,
,Engineering,ENG,2024-02-19,2024-09-15,,FGD,
,Manufacturing,MFG,2024-09-16,2025-04-23,,FGD,
,Dispatch,DIS,2025-04-24,2025-05-23,,FGD,
,SILO STR WALL BEAMS,OTH,2024-02-19,2025-05-23,,FGD,
,Engineering,ENG,2024-02-19,2024-09-15,,FGD,
,Manufacturing,MFG,2024-09-16,2025-04-23,,FGD,
,Dispatch,DIS,2025-04-24,2025-05-23,,FGD,
,SILO STR STAIRS & LADDERS,OTH,2024-02-19,2025-05-23,,FGD,
,Engineering,ENG,2024-02-19,2024-09-15,,FGD,
,Manufacturing,MFG,2024-09-16,2025-04-23,,FGD,
,Dispatch,DIS,2025-04-24,2025-05-23,,FGD,
,SILO STR MISC STRUCTURES,OTH,2024-02-19,2025-05-23,,FGD,
,Engineering,ENG,2024-02-19,2024-09-15,,FGD,
,Manufacturing,MFG,2024-09-16,2025-04-23,,FGD,
,Dispatch,DIS,2025-04-24,2025-05-23,,FGD,
,SILO SHELL,OTH,2024-02-19,2025-05-23,,FGD,
,Engineering,ENG,2024-02-19,2024-09-15,,FGD,
,Manufacturing,MFG,2024-09-16,2025-04-23,,FGD,
,Dispatch,DIS,2025-04-24,2025-05-23,,FGD,
,Equipments,OTH,2023-07-24,2024-09-05,,FGD,
,Engineering,ENG,2023-07-24,2023-09-21,,FGD,
,Ordering,OTH,2023-09-22,2024-01-19,,FGD,
,Manufacturing,MFG,2024-01-20,2024-08-06,,FGD,
,Dispatch,DIS,2024-08-07,2024-09-05,,FGD,
,Civil Works,OTH,2023-05-25,2024-08-21,,FGD,
,Engineering: Foundation,CIV,2023-05-25,2023-07-23,,FGD,PSWR
,Engineering: Superstructure,ENG,2023-06-09,2023-07-23,,FGD,
,Excavation,CIV,2023-07-24,2023-10-21,,FGD,PSWR
,RCC,CIV,2024-01-25,2024-08-21,,FGD,PSWR
,Erection,ERC,2024-11-10,2025-11-04,,FGD,PSWR
,Erection of Structure,ERC,2024-11-10,2025-07-07,,FGD,PSWR
,Erection of Equipment,ERC,2025-07-08,2025-11-04,,FGD,PSWR
,Limestone Bucket Elevator and Reversible Belt Feeder,OTH,2024-05-25,2024-12-30,,FGD,
,Equipment Dispatch,DIS,2024-05-25,2024-09-01,,FGD,
,Dispatch,DIS,2024-05-25,2024-09-01,,FGD,
,Erection of Equipment,ERC,2024-09-02,2024-12-30,,FGD,PSWR
,Gypsum Conveyor-1A/B,OTH,2023-06-24,2025-09-30,,FGD,
,Equipment Dispatch,DIS,2024-04-19,2024-06-17,,FGD,
,Dispatch,DIS,2024-04-19,2024-06-17,,FGD,
,Engineering &Supply of Structure,ENG,2023-06-24,2023-12-14,,FGD,
,FOUNDATION MATERIALSCONVEYOR-GC-1A/B,OTH,2023-06-24,2023-10-06,,FGD,
,Engineering,ENG,2023-06-24,2023-07-08,,FGD,
,Manufacturing,MFG,2023-07-09,2023-09-06,,FGD,
,Dispatch,DIS,2023-09-07,2023-10-06,,FGD,
,FX110 - CONVEYOR-GC-1A/B COLUMNS - TRESTLES,OTH,2023-06-24,2023-11-20,,FGD,
,Engineering,ENG,2023-06-24,2023-07-23,,FGD,
,Manufacturing,MFG,2023-07-24,2023-10-21,,FGD,
,Dispatch,DIS,2023-10-22,2023-11-20,,FGD,
,FX210 - CONVEYOR-GC-1A/B BEAMS & BRACING,OTH,2023-06-24,2023-11-20,,FGD,
,Engineering,ENG,2023-06-24,2023-07-23,,FGD,
,Manufacturing,MFG,2023-07-24,2023-10-21,,FGD,
,Dispatch,DIS,2023-10-22,2023-11-20,,FGD,
,FX310 - CONVEYOR-GC-1A/B FLOOR & PLATFORMS,OTH,2023-06-24,2023-11-05,,FGD,
,Engineering,ENG,2023-06-24,2023-07-23,,FGD,
,Manufacturing,MFG,2023-07-24,2023-10-06,,FGD,
,Dispatch,DIS,2023-10-07,2023-11-05,,FGD,
,FX710 - CONVEYOR-GC-1A/B FASTENERS,OTH,2023-07-04,2023-12-14,,FGD,
,Enquiry,OTH,2023-07-04,2023-07-10,,FGD,
,Ordering,OTH,2023-07-11,2023-09-08,,FGD,
,Engineering,ENG,2023-09-09,2023-09-15,,FGD,
,Dispatch,DIS,2023-11-15,2023-12-14,,FGD,
,FX810 - CONVEYOR-GC-1A/B STAIRS & LADDERS,OTH,2023-07-14,2023-10-26,,FGD,
,Engineering,ENG,2023-07-14,2023-08-12,,FGD,
,Manufacturing,MFG,2023-08-13,2023-09-26,,FGD,
,Dispatch,DIS,2023-09-27,2023-10-26,,FGD,
,FX910 - CONVEYOR-GC-1A/B MISC STRUCTURES,OTH,2023-07-24,2023-10-21,,FGD,
,Engineering,ENG,2023-07-24,2023-08-07,,FGD,
,Manufacturing,MFG,2023-08-08,2023-09-21,,FGD,
,Dispatch,DIS,2023-09-22,2023-10-21,,FGD,
,Civil Works,OTH,2023-11-21,2025-02-22,,FGD,
,Engineering: Foundation,CIV,2023-11-21,2024-01-19,,FGD,PSWR
,Engineering: Superstructure,ENG,2024-01-20,2024-04-18,,FGD,
,Excavation,CIV,2024-01-20,2024-03-19,,FGD,PSWR
,RCC,CIV,2024-11-15,2025-02-22,,FGD,PSWR
,Erection of Structure,ERC,2025-02-23,2025-06-22,,FGD,PSWR
,Erection of Equipment,ERC,2025-06-23,2025-09-30,,FGD,PSWR
,Gypsum Travelling Tripper/Gypsum Storage Shed,OTH,2023-05-25,2026-02-17,,FGD,
,Equipment Dispatch,DIS,2024-07-14,2024-09-11,,FGD,
,Dispatch,DIS,2024-07-14,2024-09-11,,FGD,
,Engineering &Supply of Structure,ENG,2023-07-24,2024-12-29,,FGD,
,FX014 - FOUNDATION MATERIALSGYPSUM SHED,OTH,2023-07-24,2023-12-20,,FGD,
,Engineering,ENG,2023-07-24,2023-08-22,,FGD,
,Manufacturing,MFG,2023-08-23,2023-11-20,,FGD,
,Dispatch,DIS,2023-11-21,2023-12-20,,FGD,
,FX140 - GYPSUM SHED COLUMNS,OTH,2023-07-24,2024-04-03,,FGD,
,Engineering,ENG,2023-07-24,2023-09-06,,FGD,
,Manufacturing,MFG,2023-09-07,2024-01-04,,FGD,
,Dispatch,DIS,2024-01-05,2024-04-03,,FGD,
,FX240 - GYPSUM SHED BEAMS & BRACING,OTH,2023-08-23,2024-05-03,,FGD,
,Engineering,ENG,2023-08-23,2023-10-06,,FGD,
,Manufacturing,MFG,2023-10-07,2024-02-03,,FGD,
,Dispatch,DIS,2024-02-04,2024-05-03,,FGD,
,FX340 - GYPSUM SHED FLOOR & PLATFORMS,OTH,2024-02-09,2024-08-21,,FGD,
,Engineering,ENG,2024-02-09,2024-03-24,,FGD,
,Manufacturing,MFG,2024-03-25,2024-05-23,,FGD,
,Dispatch,DIS,2024-05-24,2024-08-21,,FGD,
,FX640 - GYPSUM SHED WALL BEAMS,OTH,2023-09-02,2024-05-28,,FGD,
,Engineering,ENG,2023-09-02,2023-10-31,,FGD,
,Manufacturing,MFG,2023-11-01,2024-02-28,,FGD,
,Dispatch,DIS,2024-02-29,2024-05-28,,FGD,
,FX740 - GYPSUM SHED FASTENERS,OTH,2023-09-07,2024-08-16,,FGD,
,Enquiry,OTH,2023-09-07,2023-10-21,,FGD,
,Ordering,OTH,2023-10-22,2024-02-18,,FGD,
,Engineering,ENG,2024-02-19,2024-05-18,,FGD,
,Dispatch,DIS,2024-07-18,2024-08-16,,FGD,
,FX840 - GYPSUM SHED STAIRS & LADDERS,OTH,2023-11-21,2024-08-16,,FGD,
,Engineering,ENG,2023-11-21,2024-01-19,,FGD,
,Manufacturing,MFG,2024-01-20,2024-05-18,,FGD,
,Dispatch,DIS,2024-05-19,2024-08-16,,FGD,
,FX940 - GYPSUM SHED MISC STRUCTURES,OTH,2024-01-20,2024-12-29,,FGD,
,Engineering,ENG,2024-01-20,2024-03-04,,FGD,
,Manufacturing,MFG,2024-03-05,2024-08-31,,FGD,
,Dispatch,DIS,2024-09-01,2024-12-29,,FGD,
,Civil Works,OTH,2023-05-25,2025-02-22,,FGD,
,RFC Civil - Foundation,PE-RFC,2023-05-25,2023-07-23,,FGD,PSWR
,RFC Civil - Superstructure,PE-RFC,2023-05-25,2023-07-23,,FGD,
,Excavation,CIV,2023-12-21,2024-04-18,,FGD,PSWR
,GYPSUM SHED: RCC,CIV,2024-05-19,2025-02-22,,FGD,PSWR
,Erection of Structure,ERC,2025-02-23,2025-09-20,,FGD,PSWR
,Erection & Commissioning of Equipments,COM,2025-09-21,2026-02-17,,FGD,PSWR
,Pump House for LHP/ GHP,OTH,2024-02-19,2025-07-27,,FGD,
,Equipment Dispatch,DIS,2024-04-19,2024-05-18,,FGD,
,Dispatch,DIS,2024-04-19,2024-05-18,,FGD,
,Civil Works ,OTH,2024-02-19,2025-01-28,,FGD,
,RFC Civil - Superstructure,PE-RFC,2024-02-19,2024-05-18,,FGD,
,RFC Civil - Foundation,PE-RFC,2024-05-19,2024-07-17,,FGD,PSWR
,Excavation,CIV,2024-07-18,2024-08-31,,FGD,PSWR
,RCC,CIV,2024-09-01,2025-01-28,,FGD,PSWR
,Erection of Equipment,ERC,2025-01-29,2025-07-27,,FGD,PSWR
,Weigh Bridge,OTH,2024-02-19,2024-10-15,,FGD,
,Equipment Dispatch,DIS,2024-04-19,2024-05-18,,FGD,
,Dispatch,DIS,2024-04-19,2024-05-18,,FGD,
,Civil Works of Weigh Bridge GHP,OTH,2024-02-19,2024-10-15,,FGD,
,Weigh Bridge-GHP Foundation ,CIV,2024-02-19,2024-05-18,,FGD,PSWR
,Excavation,CIV,2024-05-19,2024-07-17,,FGD,PSWR
,RCC,CIV,2024-07-18,2024-10-15,,FGD,PSWR
,Civil Works of Weigh Bridge LHP,OTH,2024-02-19,2024-09-30,,FGD,
,Weigh Bridge-GHP Foundation ,CIV,2024-02-19,2024-05-18,,FGD,PSWR
,Excavation,CIV,2024-05-19,2024-07-02,,FGD,PSWR
,RCC,CIV,2024-07-03,2024-09-30,,FGD,PSWR
,Erection of Equipment,ERC,2024-07-18,2024-10-15,,FGD,PSWR
,Electrical and C&I Items,OTH,2024-04-19,2026-02-02,,FGD,
,Equipment Dispatch,DIS,2024-04-19,2024-06-17,,FGD,
,Dispatch,DIS,2024-04-19,2024-06-17,,FGD,
,Erection of Equipment,ERC,2025-10-06,2026-02-02,,FGD,PSWR
,Misc./Auxiliary Systems,OTH,2024-02-19,2024-11-24,,FGD,
,Equipment Dispatch,DIS,2024-02-19,2024-06-17,,FGD,
,Dispatch,DIS,2024-02-19,2024-06-17,,FGD,
,Erection of Equipment,ERC,2024-08-17,2024-11-24,,FGD,PSWR
,MCC building,OTH,2023-07-24,2025-03-04,,FGD,
,Civil Works,OTH,2023-07-24,2024-08-16,,FGD,
,Engineering: Foundation,CIV,2023-07-24,2023-09-21,,FGD,PSWR
,Engineering: Superstructure,ENG,2023-09-22,2023-11-20,,FGD,
,Excavation,CIV,2023-11-21,2023-12-20,,FGD,PSWR
,RCC,CIV,2023-12-21,2024-08-16,,FGD,PSWR
,Erection of Panels,ERC,2024-10-16,2025-03-04,,FGD,PSWR
,Erection of panels,ERC,2024-10-16,2025-03-04,,FGD,PSWR
,Commissioning of Limestone handling & Crushing System,COM,2025-11-05,2026-02-02,,FGD,
,Commissioning of Gypsum Handling System,COM,2026-02-18,2026-05-18,,FGD,
,Pumps,OTH,2023-04-05,2024-04-18,,FGD,
,Engineering &Supply,ENG,2023-04-05,2023-11-18,,FGD,
,"BOI-FW701  SLURRY PUMPS & ACCESSORIES(A,B,C&D)",OTH,2023-04-05,2023-11-18,"701 ÿSLURRY PUMPS & ACCESSORIESA,B,C&D)",FGD,
,Ordering,OTH,2023-04-05,2023-06-23,FW701,FGD-SLURRY PUMPS & ACCESSORIES,
,Engineering,ENG,2023-06-24,2023-07-23,FW701,FGD-SLURRY PUMPS & ACCESSORIES,
,Manufacturing,MFG,2023-07-24,2023-10-19,FW701,FGD-SLURRY PUMPS & ACCESSORIES,
,Dispatch,DIS,2023-10-20,2023-11-18,FW701,FGD-SLURRY PUMPS & ACCESSORIES,
,BOI- FW702 -WATER PUMPS & ACCESSORIES,OTH,2023-04-15,2023-11-18,FW702,FGD-WATER PUMPS & ACCESSORIES,
